Canada,France,Germany,Italy,Japan,United Kingdom,United States
,259.774344,356.288051,158.939284,773.170192,1458.702675,26820.721998
269.969993,,6440.928402,3525.58493,544.497147,2685.976457,3219.695959
931.950594,9628.673888,,6253.252577,1863.95569,6717.742877,10086.173941
385.370044,4422.526669,5280.943382,,718.988403,2248.973697,4146.895775
742.191653,482.307729,1487.66731,373.958913,,1331.32612,9664.659178
547.7076,2434.150113,4016.820126,984.40199,538.725446,,6139.224086
22550.409387,3494.204301,4718.306603,1742.348778,5454.467853,5832.579169,
